Age_start,Age_end,Positive,Country,Date
0,9,43,Italy,3/11/2020
10,19,85,Italy,3/11/2020
20,29,296,Italy,3/11/2020
30,39,470,Italy,3/11/2020
40,49,891,Italy,3/11/2020
50,59,1453,Italy,3/11/2020
60,69,1471,Italy,3/11/2020
70,79,1785,Italy,3/11/2020
80,120,1532,Italy,3/11/2020
0,9,12,Norway,3/19/2020
10,19,42,Norway,3/19/2020
20,29,162,Norway,3/19/2020
30,39,241,Norway,3/19/2020
40,49,345,Norway,3/19/2020
50,59,386,Norway,3/19/2020
60,69,150,Norway,3/19/2020
70,79,54,Norway,3/19/2020
80,89,22,Norway,3/19/2020
90,120,9,Norway,3/19/2020
0,9,14,Norway,3/22/2020
10,19,55,Norway,3/22/2020
20,29,230,Norway,3/22/2020
30,39,304,Norway,3/22/2020
40,49,450,Norway,3/22/2020
50,59,482,Norway,3/22/2020
60,69,225,Norway,3/22/2020
70,79,96,Norway,3/22/2020
80,89,54,Norway,3/22/2020
90,120,16,Norway,3/22/2020
0,9,2,Iceland,3/19/2020
10,19,14,Iceland,3/19/2020
20,29,31,Iceland,3/19/2020
30,39,38,Iceland,3/19/2020
40,49,68,Iceland,3/19/2020
50,59,52,Iceland,3/19/2020
60,69,39,Iceland,3/19/2020
70,79,6,Iceland,3/19/2020
80,129,0,Iceland,3/19/2020
0,9,10,Iceland,3/21/2020
10,19,34,Iceland,3/21/2020
20,29,82,Iceland,3/21/2020
30,39,100,Iceland,3/21/2020
40,49,149,Iceland,3/21/2020
50,59,109,Iceland,3/21/2020
60,69,66,Iceland,3/21/2020
70,79,17,Iceland,3/21/2020
80,89,0,Iceland,3/21/2020
90,120,1,Iceland,3/21/2020
0,19,37,Canada,3/22/2020
20,39,213,Canada,3/22/2020
40,49,132,Canada,3/22/2020
50,59,161,Canada,3/22/2020
60,69,134,Canada,3/22/2020
70,79,78,Canada,3/22/2020
80,120,42,Canada,3/22/2020
0,14,48,Czechia,3/22/2020
15,24,75,Czechia,3/22/2020
25,34,138,Czechia,3/22/2020
35,44,148,Czechia,3/22/2020
45,54,125,Czechia,3/22/2020
55,64,100,Czechia,3/22/2020
65,120,82,Czechia,3/22/2020
0,9,13,Danmark,3/22/2020
10,19,35,Danmark,3/22/2020
20,29,165,Danmark,3/22/2020
30,39,191,Danmark,3/22/2020
40,49,375,Danmark,3/22/2020
50,59,248,Danmark,3/22/2020
60,69,148,Danmark,3/22/2020
70,79,118,Danmark,3/22/2020
80,89,87,Danmark,3/22/2020
90,120,15,Danmark,3/22/2020
0,14,126,France,3/15/2020
15,44,1808,France,3/15/2020
45,64,2067,France,3/15/2020
65,74,850,France,3/15/2020
75,120,1236,France,3/15/2020
35,59,3883,Germany,3/21/2020
15,34,2372,Germany,3/21/2020
60,79,1760,Germany,3/21/2020
80,120,367,Germany,3/21/2020
5,14,341,Germany,3/21/2020
0,4,121,Germany,3/21/2020
0,9,23,Portugal,3/22/2020
10,19,57,Portugal,3/22/2020
20,29,187,Portugal,3/22/2020
30,39,288,Portugal,3/22/2020
40,49,314,Portugal,3/22/2020
50,59,282,Portugal,3/22/2020
60,69,213,Portugal,3/22/2020
70,79,141,Portugal,3/22/2020
80,120,95,Portugal,3/22/2020
0,9,15,Iceland,3/25/2020
10,19,46,Iceland,3/25/2020
20,29,112,Iceland,3/25/2020
30,39,128,Iceland,3/25/2020
40,49,182,Iceland,3/25/2020
50,59,136,Iceland,3/25/2020
60,69,93,Iceland,3/25/2020
70,79,23,Iceland,3/25/2020
80,89,1,Iceland,3/25/2020
90,120,1,Iceland,3/25/2020
0,19,58,Canada,3/25/2020
20,29,148,Canada,3/25/2020
30,39,214,Canada,3/25/2020
40,49,216,Canada,3/25/2020
50,59,236,Canada,3/25/2020
60,69,224,Canada,3/25/2020
70,79,121,Canada,3/25/2020
80,120,62,Canada,3/25/2020
0,14,89,Czechia,3/25/2020
15,24,128,Czechia,3/25/2020
25,34,225,Czechia,3/25/2020
35,44,272,Czechia,3/25/2020
45,54,240,Czechia,3/25/2020
55,64,190,Czechia,3/25/2020
65,120,168,Czechia,3/25/2020
0,9,13,Danmark,3/25/2020
10,19,40,Danmark,3/25/2020
20,29,179,Danmark,3/25/2020
30,39,211,Danmark,3/25/2020
40,49,420,Danmark,3/25/2020
50,59,309,Danmark,3/25/2020
60,69,204,Danmark,3/25/2020
70,79,192,Danmark,3/25/2020
80,89,147,Danmark,3/25/2020
0,9,19,Norway,3/25/2020
10,19,93,Norway,3/25/2020
20,29,351,Norway,3/25/2020
30,39,463,Norway,3/25/2020
40,49,590,Norway,3/25/2020
50,59,652,Norway,3/25/2020
60,69,354,Norway,3/25/2020
70,79,177,Norway,3/25/2020
80,89,101,Norway,3/25/2020
90,99,28,Norway,3/25/2020
100,120,2,Norway,3/25/2020
0,9,34,Portugal,3/25/2020
10,19,77,Portugal,3/25/2020
20,29,348,Portugal,3/25/2020
30,39,490,Portugal,3/25/2020
40,49,551,Portugal,3/25/2020
50,59,535,Portugal,3/25/2020
60,69,424,Portugal,3/25/2020
70,79,276,Portugal,3/25/2020
80,120,260,Portugal,3/25/2020
0,9,49,Switzerland,3/25/2020
10,19,259,Switzerland,3/25/2020
20,29,1113,Switzerland,3/25/2020
30,39,1401,Switzerland,3/25/2020
40,49,1589,Switzerland,3/25/2020
50,59,2105,Switzerland,3/25/2020
60,69,1309,Switzerland,3/25/2020
70,79,1033,Switzerland,3/25/2020
80,120,877,Switzerland,3/25/2020
0,9,318,Italy,3/23/2020
10,19,386,Italy,3/23/2020
20,29,2192,Italy,3/23/2020
30,39,3995,Italy,3/23/2020
40,49,7267,Italy,3/23/2020
50,59,11280,Italy,3/23/2020
60,69,10423,Italy,3/23/2020
70,79,11320,Italy,3/23/2020
80,89,8579,Italy,3/23/2020
90,120,1935,Italy,3/23/2020
0,9,3,Estonia,3/25/2020
10,19,18,Estonia,3/25/2020
20,29,35,Estonia,3/25/2020
30,39,86,Estonia,3/25/2020
40,49,96,Estonia,3/25/2020
50,59,90,Estonia,3/25/2020
60,120,74,Estonia,3/25/2020
